sn,Category,Sub-Category,Brand,Suvidhaa SKU,Product Title,Product Description,Product Image Link,Points
735,Home Appliance,Juicer,Usha,SIL-2372,Usha Juicer Mixer Grinder 3345��,Usha Juicer Mixer Grinder 3345��,SIL-2372.jpg,TBD
736,Home Appliance,Mixer Grinder ,Usha,SIL-2373,Usha Mixer Grinder 3750 ( 2 Jar),Usha Mixer Grinder 3750 ( 2 Jar),SIL-2373.jpg,TBD
737,Wearable,SMART WATCH,MI,SIL-2448,BAND 6,"Xiaomi Mi Smart Band 6 - 1.56'' (3.96 cm) Large AMOLED Color Display, 2 Week Battery Life, 30 Fitness Mode, 5 ATM, SpO2, HR, Sleep Monitoring, Women's Health Tracking, Alarm, Music Control",SIL-2448.jpg,TBD
800,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1147,140W USB-C Power Adapter,Apple 140W USB-C Power Adapter,SIL-1147.jpg,TBD
811,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1158,18W USB-C Power Adapter,Apple 18W USB-C Power Adapter,SIL-1158.jpg,TBD
813,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1160,Apple 30-pin to USB Cable,Apple 30-pin to USB Cable,SIL-1160.jpg,TBD
814,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1161,Apple 60W MagSafe Power Adapter (for previous generation 13.3-inch MacBook and 13-inch MacBook Pro),Apple 60W MagSafe Power Adapter (for previous generation 13.3-inch MacBook and 13-inch MacBook Pro),SIL-1161.jpg,TBD
815,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1162,67W USB-C Power Adapter,Apple 67W USB-C Power Adapter,SIL-1162.jpg,TBD
816,Apple Brand Accessories,Laptop Accessories,Apple,SIL-1163,8TB SSD Kit for Mac�Pro,Apple 8TB SSD Kit for Mac�Pro,SIL-1163.jpg,TBD
825,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1172,EarPods with 3.5mm Headphone Plug,Apple EarPods with 3.5mm Headphone Plug,SIL-1172.jpg,TBD
